course_title,course_code,university,country,source_url,academic_year,semester,semester_normalized,study_level,credits,credit_system,ects_credits,aims,course_content,learning_outcomes,assessment_methods,literature
International Business,BST 2413,BI Norwegian Business School,Norway,https://programmeinfo.bi.no/nb/course/BST-2413/2026-autumn,2024,Autumn,winter,Bachelor,15,ECTS,15,"This course prepares students for working in an international business environment, by addressing critical macro-level factors in the environment and meso-level factors in the organization that are fundamental for a manager to be competent in international business. This course will provide students with knowledge of the institutional, organizational, and interpersonal factors and challenges that are critical to successful international business. The course begins with an overview of the global business environment and introduces the international organization and key decisions managers have to face when going international. The environmental and organizational context will provide the backdrop for an in-depth analysis of culture and management. Special focus will be placed on the cross-cultural management, global leadership and international human resource management. Strategy and structure of the international business organization will also be discussed. Students will have the opportunity to develop their skill sets based on their knowledge of culture and management to be effective negotiators and team players. The course is built on a research-based foundation, and uses practical cases where different perspectives can be used to solve real world problems.",The course content will be structured as below. Conceptualizing and understanding cultures Cross-cultural communication Leading across cultural boundaries Managing workforce diversity and expatriates New challenges for globalization Firm competitiveness and investing abroad Globalization and integration Global competition and collaboration Organizing and innovating in MNEs,"During the course students shall: Acquire knowledge of the international business environment Learn how to manage international and global companies, and culturally diverse employees. Acquire knowledge of central factors in international business, on the macro-, meso-, and micro-level. Acquire knowledge of the national differences in the international business environment, firms’ strategies for serving foreign markets and engaging in global competition, as well as culture's consequences for leadership, HRM, and negotiations. After completed course students shall: Be able to apply core models and concepts to practical situations. Be able to manage a diverse workforce as well as negotiating across cultures. The students should be able to reflect on the meaning of culture and culture's impact on people's expectations and perceptions of management. They should also be able to reflect on the effects of globalization (negative as well as positive) and to see how a changing world impacts business across different levels.","Exam category: Submission Form of assessment: Submission PDF Exam/hand-in semester: First Semester Weight: 40 Grouping: Group (2 - 3) Duration: 1 Semester(s) Comment: Biweekly learning journal (term paper). Every other week, you write a report to reflect on (a) what learning activities you have participated in, (b) which part of the content you found particularly helpful or interesting, and (c) how the newly acquired knowledge have changed your views of international business or themselves. Exam code: BST 24135 Grading scale: ECTS Resit: Examination when next scheduled course Exam category: Submission Form of assessment: Submission PDF Exam/hand-in semester: First Semester Weight: 60 Grouping: Individual Duration: 5 Hour(s) Comment: Individual take-home exam (digitally) Exam code: BST 24136 Grading scale: ECTS Resit: Examination when next scheduled course",
Mathematics for Data Science,EBA 1180,BI Norwegian Business School,Norway,https://programmeinfo.bi.no/nb/course/EBA-1180/2026-autumn,2024,Autumn,winter,Bachelor,7.5,ECTS,7.5,"This is a basic course in mathematics. The course is a compulsory part of the Bachelor of Data Science. The course will be taught during the first year over two semesters. It consists of an introductory part in the autumn semester, and an advanced part in the autumn and spring semester.",Elementary algebra Mathematics of finance and series Functions and graphs Exponential and logarithmic functions Derivation with applications Integration with applications Linear algebra and matrix algebra Functions of several variables Optimization in several variables,"After completing the course, the student will have; Acquired a broad understanding of concepts, methods and theories in mathematics. A broad knowledge of algebra, functions in one or several variables, financial mathematics, derivation and integration, and linear algebra. Specialized knowledge of how mathematical models and methods can be used in economics and finance. After completing the course, the student will be able to: Analyze quantitative problems using mathematical concepts, and be able to use mathematical methods to solve these problems. Assess solution strategies, and be able to carry out the necessary computations correctly and precisely. Give mathematical arguments to justify his conclusions, and be able to give written answers that explains the method used and the obtained results to the reader. See connections between mathematics and other subjects, especially economics and finance. Be able to translate mathematical problems into algorithms and Python code After completing the course, the student will be able to reflect upon central assumptions for the models and theories used. The student will be able to reflect upon the results obtained, and critically assess if they are reasonable.",Exam category: School Exam Form of assessment: Written School Exam - pen and paper Exam/hand-in semester: First Semester Weight: 40 Grouping: Individual Support materials: BI-approved exam calculator Simple calculator Bilingual dictionary Duration: 3 Hour(s) Comment: Written exam at the end of the autumn term. All exams must be passed to obtain a final grade in the course. Exam code: EBA 11805 Grading scale: ECTS Resit: Examination every semester Exam category: School Exam Form of assessment: Written School Exam - pen and paper Exam/hand-in semester: Second Semester Weight: 60 Grouping: Individual Support materials: BI-approved exam calculator Simple calculator Bilingual dictionary Duration: 5 Hour(s) Comment: Written exam at the end of the spring term. All exams must be passed to obtain a final grade in the course. Exam code: EBA 11806 Grading scale: ECTS Resit: Examination every semester,
"Programming, Data Extraction and Visualisation",EBA 3400,BI Norwegian Business School,Norway,https://programmeinfo.bi.no/nb/course/EBA-3400/2026-autumn,2025,Spring,summer,Bachelor,7.5,ECTS,7.5,"This course covers basic Python programming and data manipulation and visualization packages, aiming to provide students with fundamental skills for solving practical problems in data science. Using a hands-on learning approach, students will develop their programming skills through a variety of in-class and out-of-class exercises.",Python basics Programming environment. Variables and data types. Input and output. Control flow (conditionals and loops). Functions. Data extraction and visualization Reading and writing data. Data summarization and quality assessment. Subset selection and data manipulation. Data aggregation and statistics computation. Data visualization and interpretation.,"Throughout the course, students will: Learn how to translate real-world problems into Python code and explore the possibilities of using programming to complete data science tasks. Learn basic data analytics and develop an understanding of the exploratory phase in empirical investigations. After completed course students will be able to: Perform basic data exploration and visualization tasks. Automate analyses that would otherwise be impossible to perform manually. Importantly, the course gives basic skills in Python programming. Communicate the result of an empirical investigation based on the tools introduced in the course. This course will train logical thinking by converting ideas into computer programs, thereby improving students' analytical skills. It will develop critical thinking skills by analyzing and extracting information from a wide range of datasets. Overall, the course aims to improve students' information literacy by providing them with a technical understanding of information processing.",Exam category: Submission Form of assessment: Submission other than PDF Exam/hand-in semester: First Semester Weight: 30 Grouping: Individual Duration: 3 Hour(s) Exam code: EBA 34002 Grading scale: ECTS Resit: Examination every semester Exam category: Submission Form of assessment: Submission other than PDF Exam/hand-in semester: First Semester Weight: 70 Grouping: Individual Duration: 3 Hour(s) Exam code: EBA 34003 Grading scale: ECTS Resit: Examination every semester,
Foundations of Data Science,EBA 3501,BI Norwegian Business School,Norway,https://programmeinfo.bi.no/nb/course/EBA-3501/2026-autumn,2024,Autumn,winter,Bachelor,7.5,ECTS,7.5,"In this course, we will embark on an exciting journey into the realm of machine learning and data science. Machine learning, a subset of AI, empowers computers to learn from data and make predictions or decisions without explicit programming. Throughout this course, we will leverage the power of Python, the most popular language for machine learning. Libraries such as scikit-learn provides a rich set of tools for data preprocessing, model building, evaluation, and much more. This course will equip you with the foundational knowledge and practical skills needed to tackle real-world problems involving data analysis, classification, and regression.","The course covers the following topics: Loading, cleaning, and exploration of data. Quarto and Jupyter notebooks for the presentation of exploratory data analyses and applications of machine learning methods. Fitting of basic classifiers. Run and make informed choices among linear regression. Interpret the coefficients of regression models along with their p-values. Splitting data into test and training sets. Construction estimator pipelines, including data loading, preprocessing, fitting, and model evaluation. Perform regularized regression, such as ridge and lasso. Usage of non-linear features such as polynomials and splines. Feature transformations such as one-hot encoding. Make informed choices between different models using cross-validation.","Upon completion of this course, students will be able to: Understand the basic concepts of machine learning and exploratory data analysis. Know the most popular machine learning methods' definition, interpretation, and properties. Appreciate the reasoning behind basic workflows in data science. Upon completion of this course, students will be able to: Apply Python libraries for loading, cleaning, and exploration of data. Fit a variety of important machine learning models in Python and interpret the results. Present data analyses professionally using Quarto and Jupyter notebooks. Upon completion of the course, students will have stronger competence in: Work on difficult problems, independently and in teams. Read and understand technical documentation. Present analyses professionally.",Exam category: Submission Form of assessment: Submission other than PDF Exam/hand-in semester: First Semester Weight: 100 Grouping: Group/Individual (1 - 3) Duration: 1 Week(s) Comment: Home exam. Exam code: EBA 35011 Grading scale: ECTS Resit: Examination every semester,
Decision Modelling Using Spreadsheet,EBA 3610,BI Norwegian Business School,Norway,https://programmeinfo.bi.no/nb/course/EBA-3610/2026-autumn,2024,Autumn,winter,Bachelor,7.5,ECTS,7.5,"The course combines consideration of realistic decision-making problems with theory and methodologies in building and solving spreadsheet models. Examples from finance, marketing, supply chain and other business areas illustrate management science applications and solutions methods using spreadsheet tools widely used in most of the organizations.",Introduction to Spreadsheet Modeling. Introduction to Optimization and Linear Programming Models. Modeling and solving LP problems and sensitivity analysis. Network Models. Optimization Models with Integer Variables. Mixed-Integer Optimization Solution methods: Simplex and Evolutionary Solver. Decision Making Under Uncertainty Introduction to Simulations Multiobjective Decision Making. Inventory and Supply Chain Models.,"During the course, students should have acquired: Basic knowledge in Spreadsheet Modeling to be able to formulate a model based on a decision problem Identify and apply the right method Interpret and analyze the results Basic knowledge of Optimization with Linear, as well as Mixed-Integer Optimization Programming Models with a goal of finding an optimal solution that mimimizes the costs, emissions, distance or maximizes the profit or other objectives. After completing the course, students shall be able to: Build models in spreadsheet and analyse the results Identify and apply modelling approach to solve decision problems Use spreadsheets for various business applications Model and solve linear and Mixed-Integer Optimization problems and perform sensitivity analysis Model decisions under uncertainty. The students will learn how to build a model, analyze a decision problem, evaluate the data and how to select a modelling and solution approach.","Exam category: Submission Form of assessment: Structured Test Exam/hand-in semester: First Semester Weight: 30 Grouping: Individual Duration: 24 Hour(s) Comment: Midterm multiple choice test with questions that require building models and solving those to be able to answer on the questions. The exam has a fixed duration 24 hours, this allows the students to start a timeboxed multiple choice exam (4 hours) whenever they wish within this period. All exams must be passed to obtain a final grade in the course. Exam code: EBA 36102 Grading scale: ECTS Resit: Examination every semester Exam category: School Exam Form of assessment: Written School Exam - digital Exam/hand-in semester: First Semester Weight: 70 Grouping: Individual Support materials: All printed and handwritten support materials Duration: 4 Hour(s) Comment: Exam includes several tasks to be solved based on a spreadsheet. Exam code: EBA 36103 Grading scale: ECTS Resit: Examination every semester",
Data Driven Management Accounting,EBA 3630,BI Norwegian Business School,Norway,https://programmeinfo.bi.no/nb/course/EBA-3630/2026-autumn,2025,Spring,summer,Bachelor,7.5,ECTS,7.5,"Management accountants have for many years been the drivers of analysis for decision-making in most organisations. Previously using reports from internal ERP systems, management accountants have extracted data, conducted spreadsheets, manual analysis, and arrived at a basis for providing relevant information to key decision-makers. With the vast increase in available data, the management accountant is forced into a world previously hosted by computer scientists. In many cases, management accountants now have to extract the data themselves from various locations, filter and regroup data themselves, and then perform analysis to shed light on current decisions. This course intends to show how data from various sources within companies can be used to perform such tasks as cost estimation, customer profitability analysis,performance measurement, predictive analytics, and to conduct forensic accounting.",In-house data External relevant data Extraction of data Decision analysis Management science Cost estimation for various profitability calculations Customer profitability analysis Accounting forensics Predictive analytics Visualisation of management accounting analytics,"During the course, students should have learned/acquired knowledge of: The importance of external and internal data sources to solve management accounting problems Relevant management accounting tools How to translate management accounting problems into Python Code and/or other relevant programming languages How to use data for management decision making After completing the course, students shall be able to: Identify relevant data Scope a management accounting problem Apply the correct management accounting tool Translate management accounting problems into Python Code and/or other relevant programming language Conduct financial accounting forensic analysis Communicate and interpret the results of using management accounting tools Derive recommendations for actions based on their analysis Evaluate the meaningfulness of certain types of data to the problem being analyzed Understand the benefits and limitations of certain management accounting tools",Exam category: Submission Form of assessment: Submission PDF Exam/hand-in semester: First Semester Weight: 70 Grouping: Individual Duration: 48 Hour(s) Exam code: EBA 36302 Grading scale: ECTS Resit: Examination every semester Exam category: Submission Form of assessment: Submission PDF Exam/hand-in semester: First Semester Weight: 30 Grouping: Individual Duration: 24 Hour(s) Exam code: EBA 36303 Grading scale: ECTS Resit: Examination every semester,
Programming and Data Management,EDI 3400,BI Norwegian Business School,Norway,https://programmeinfo.bi.no/nb/course/EDI-3400/2026-autumn,2024,Autumn,winter,Bachelor,7.5,ECTS,7.5,"This course introduces Python and SQL, two of the most popular and indispensable programming languages for data analysts. In addition, the course covers the basics of data management with focus on relational databases. Using available data to gain insights and make correct decisions is becoming essential for almost any business in today’s world.","Introduction, installation of Python, Jupyter lab, IDEs. Executing Python code. Variables, basic types, user input and output. Control flow (conditional execution, loops). Organizing code (functions and libraries). Data structures. Strings, reading, writing and processing text files. Regular expressions. Extracting data from the web. Vectors and matrices (NumPy), random numbers and the Monte Carlo method. Processing and analyzing tabular data with Pandas (reading, cleaning, manipulating, grouping and aggregating data). Plotting and visualization. Introduction to relational databases. Structured Query Language (SQL). The relational model. Programming with databases.","Upon completion of the course the student shall be able to: Understand, explain and use fundamental programming concepts, including: syntax and semantics, variables, types, basic data structures, expressions and statements, control flow (conditionals and loops), functions and libraries, input/output operations, exceptions with focus on the Python programming language. Understand and explain principles of data modeling and relational databases, Understand, explain and use SQL statements and queries. Upon completion of the course the student shall be able to: Use integrated development environments to create computer programs, Design, implement, run, test and debug programs in Python based on a given textual description of a problem, Process, analyze, summarize and visualize datasets using Python, NumPy, Matplotlib and other libraries, Read and understand Python source code implemented by others, Create a data model based on a given textual description of a problem, Implement this data model in a relational database using the SQL language, Query and modify relational databases using the SQL language, Create computer programs in Python that store, modify and query data stored in relational databases. Upon completion of the course the student shall have stronger competence in: Processing and analyzing data with help of computers, Using online resources as aids to solve problems, Reading and understanding technical documentation.",Exam category: Submission Form of assessment: Submission other than PDF Exam/hand-in semester: First Semester Weight: 100 Grouping: Individual Duration: 30 Hour(s) Exam code: EDI 34001 Grading scale: ECTS Resit: Examination every semester,
Communication in Action: Dialogue and Discourse,EDI 3410,BI Norwegian Business School,Norway,https://programmeinfo.bi.no/nb/course/EDI-3410/2026-autumn,2025,Spring,summer,Bachelor,7.5,ECTS,7.5,"Effective communication skills have become increasingly important as we enter the digital business world. The workplace is more diverse - functioning in multi-cultural, multinational cross-functional teams. Not only are effective communication skills a requirement for the job, but we must be influential in communication and persuasively present new ideas to colleagues, subordinates, and superiors to inform, motivate, and prepare them for innovation and change.","Plenary sessions consisting of lectures and interactive workshops in small groups. Critical thinking: argumentation analysis Critical thinking: assumptions and fallacies Rhetoric Ethos, logos, pathos, using examples from student manuscripts and popular speeches Speech analysis Storytelling Dialogue as ethical communication. Introduction to the Mutual Learning Model. Challenging dialogues - case study Small groups. Ethos. Speeches, followed by individual feedback on body and voice. Students turn in drafts of their manuscripts. In-class peer feedback. Exercises - dialogue for constructive feedback Dialogue - tools for practicing the Mutual Learning Model Visual Aids Logos for the persuasive speech: argumentation, critical thinking, case study Speech delivery with individual feedback Submission of a manuscript for feedback - arbeidskrav Mock exam - exam preparation","Students will acquire advanced knowledge about: Public speaking: rhetoric, argumentation, critical thinking, debate Interpersonal communication: dialogue, listening Critical thinking Ethical communication Interpersonal communication theory Identify manipulative communication techniques Communicating in teams Appropriate communication and choice of medium Voice and body as a medium of communication Upon completion of this course, students should be able to master the following communication practices: Deliver influential pitches and presentations Deliver effective arguments Handle criticism and balanced dialogue when being challenged Critique arguments logically and constructively Give quality constructive feedback Handle manipulative communication techniques Communicating in teams Build networks and relationship Apply theoretical knowledge to practical communication challenges In this course, students will learn to develop their unique style of professional communication, with an emphasis on critical thinking, barriers to effective communication, and presentation skills. Students will also understand the ethical implications of different communication styles and exercise balanced judgment in challenging communication situations.","Exam category: Submission Form of assessment: Submission PDF Exam/hand-in semester: First Semester Weight: 35 Grouping: Individual Duration: 1 Semester(s) Comment: Quality of the Final Manuscript for Submission and Final Written Reflection. Based on course concepts. Exam code: EDI 34101 Grading scale: ECTS Resit: Examination every semester Exam category: Activity, Oral Form of assessment: Presentation Exam/hand-in semester: First Semester Weight: 65 Grouping: Individual Duration: 8 Hour(s) Comment: Based on course concepts. Quality of the Presentation; Quality of the Presenter’s Dialogue with the Opponent following the Presentation, based on course concepts; and Quality of the Critique of a peer's Presentation. On a designated day before the final delivery of the presentations, each “Presenter” will send their manuscript to their assigned “Opponent"". The presentation and discussion for each student will be administered in two, 3-4-hour sessions. Exam code: EDI 34102 Grading scale: ECTS Resit: Examination every semester",
Low Code Software Development,EDI 3500,BI Norwegian Business School,Norway,https://programmeinfo.bi.no/nb/course/EDI-3500/2026-autumn,2024,Autumn,winter,Bachelor,7.5,ECTS,7.5,"The essence of this course is to let students solve a business problem by creating a digital solution without witing code. One key success factor in a digital transformation is how well an organization can mobilize its members to be part of the digitalization process. New technologies such as generative AI with chatbots and co-pilots enable end-users to create digital solutions such as apps, dashboard and automated workflows without the involvement of professional developers, or to co-create these with developers. There are many open-source and commercial tools available that help users build apps and other solutions without coding, and many of them includes digital assistants driven by artificial intelligence (AI) to support users in their development. The low code development tools have capabilities to automate tasks, workflows and processes and enable organizations to free employees from tasks that are boring, repetitive and labour intensive. The rapid development in new capabilities combined with reductions in price have made these tools affordable and practically available to the extent that we in many cases find an order of magnitude change in the cost/benefit-ratio of using technology compared to human labour. This course aims to train students in a problem-solving activity (a group project) where the team will create a digital solution with one or more components using the Microsoft Power Platform and other tools.","Problem-solving; methods and processes Problem-solving techniques Teamwork in problem solving Data management in theory and practice Manage and structure data sets Using APIs to connect to data sources Understanding business processes Tasks, workflows and business processes Process mapping and analysis Low code development: concepts, tools and techniques App creation from data Build your own Workflow automation - overview and introduction Intelligent chatbots People, processes and technology Solution designs Platform choices","After completing the course, the candidate will have acquired knowledge about: Problem-solving and problem-solving processes Teamwork in problem solving processes The mutuality of people, processes and technology in an organization Low code software development compared to professional software development Common platforms and tools for low code development Data management A framework for software sustainability assessment After completing the course, the candidate is able to: Work in a team to solve a business problem Apply interdisciplinary knowledge to solve business problems Apply tools that are feasible for the problem at hand Develop and implement a digital solution Perform data management, including interacting with external data sources Estimate and evaluate effects of the solution, including sustainability The candidates should be able to reflect on their own role in a problem-solving process, being part of a team and how one’s own behavior contributes to team success. They should also be able to reflect on ethical, legal and sustainability implications of softar development.","Exam category: Submission Form of assessment: Submission other than PDF Exam/hand-in semester: First Semester Weight: 100 Grouping: Group (4 - 6) Duration: 1 Semester(s) Comment: The exam project is a group activity where students are expected to create a team to tackle a business problem. The group members should take on roles within the team and together develop a digital solution using low code tools. The work should be documented in a written document that documents the problem-solving and development process, links for access to the solution and a multimedia production (e.g. video) that explains and demonstrates the solution. Exam code: EDI 35001 Grading scale: ECTS Resit: Examination when next scheduled course",
Business Information Systems,EDI 3510,BI Norwegian Business School,Norway,https://programmeinfo.bi.no/nb/course/EDI-3510/2026-autumn,2024,Autumn,winter,Bachelor,7.5,ECTS,7.5,"This course introduces concepts, principles, and practices concerning the use of digital technology to support a firm’s strategic goals and key activities. A firm’s business model as well as its operational activities are supported by an information technology infrastructure that consists of hardware and software, in short, business information systems. Business information systems enable all sorts of activities necessary to perform tasks within and across firms. Therefore, a central competence for modern managers, consultants, or entrepreneurs is the ability to understand the interaction between business decisions and technology decisions to align a firm’s strategic and operational goals with technological capabilities. To engage with these issues, this course serves as an introduction to the role and importance of information systems (IS) and information technology (IT) in a world that is increasing being digitalized. The course introduces basic concepts of IT/IS and relates them to corporate and business strategy. Topics include but are not limited to strategic alignment, principles and practices of its implementation, enterprise systems architecture, development, and design as well as key applications of information systems in businesses. The course combines conceptual knowledge about information systems in business with hands-on exercises involving state-of-the-art tools and systems through teaching cases, tool demonstrations, and simulations. Knowledge of IS/IT as well as any technical skills such as programming or database management are not required.",Introduction to information systems (IS) and information technology (IT) Elements of information systems and technologies Types of information systems and technologies The role of IS in industries and organizations characterized by digitalization Elements of a digital infrastructure Structural aspects of information technology Hardware and software elements The role of cloud-based systems and Software as a Service (SaaS) Alignment of business and information systems strategy Implications of business strategy for the use of information systems and digital technologies Information systems requirements to support operational activities Development and implementation of an appropriate IS strategy Management of digital technologies Justifying investments into technology Cybersecurity and privacy issues Ethics and social issues in information systems,"After completing this course, a candidate will have developed knowledge about: Definitions and elements of information systems (IS) and information technology (IT) Principles and concepts related to a firm’s digital technology infrastructure Link between a firm’s business strategy, operational activities and the use of business information systems Elements, principles, and concepts of a firm’s information systems strategy and its alignment with business goals IS management of tools and applications for business (e.g., Enterprise Resource Planning (ERP), Customer Relationship Management (CRM), Enterprise Architecture (EA), Cloud applications and infrastructure, etc.) After completing this course, a candidate will be able to: Describe and assess the interdependencies between a firm’s strategic objectives and its business information systems Evaluate a firm’s existing digital infrastructure in relation to its strategic and operational objectives Perform basic tasks using relevant tools and applications (e.g., ERP systems, cloud platforms) A candidate well be able to explain and analyze elements of state-of-the-art information systems and their use in modern organizations.","Exam category: Submission Form of assessment: Portfolio Assessment PDF Exam/hand-in semester: First Semester Weight: 100 Grouping: Group/Individual (1 - 3) Duration: 1 Semester(s) Comment: The final exam assignment is a portfolio consisting of assignments completed throughout the course. During the course, students will complete a variety of tasks and assignments which are submitted along the way for formative peer assessment. The assignments can be solved in groups throughout the semester. The final written assignment that serves as the basis of examination is the collection of assignments. Exam code: EDI 35101 Grading scale: ECTS Resit: Examination when next scheduled course",
